STUDYID,DOMAIN,USUBJID,OMSEQ,OMTESTCD,OMTEST,OMORRES,OMORRESU,OMSTRESC,OMSTRESN,OMSTRESU,OMSTAT
CDISC-TEST,OM,CDISC-TEST-001,1,WEIGHT,Weight,10.0,g,10.0,10.0,g,
CDISC-TEST,OM,CDISC-TEST-001,2,WEIGHT,Weight,10.1,g,10.1,10.1,g,
CDISC-TEST,OM,CDISC-TEST-001,3,OWHT,Organ to Heart Weight Ratio,20,,0.2,0.2,,
CDISC-TEST,OM,CDISC-TEST-002,1,OWHT,Organ to Heart Weight Ratio,21,,0.21,0.21,,
MOCK,OM,CDISC-TEST-001,10,OWBW,Organ to Body Weight Ratio,,,,,,NOT DONE
MOCK,OM,CDISC-TEST-002,1,OWBW,Organ to Body Weight Ratio,0.03,,3,3,%,
MOCK,OM,CDISC-TEST-003,12,OWBW,Organ to Body Weight Ratio,0.033,,3.3,3.3,%,
MOCK,OM,CDISC-TEST-001,16,OWBR,Organ to Brain Weight Ratio,0.909,,0.909,0.909,,
MOCK,OM,CDISC-TEST-002,17,OWBR,Organ to Brain Weight Ratio,0.961,,0.961,0.961,,
MOCK,OM,CDISC-TEST-003,18,OWBR,Organ to Brain Weight Ratio,1,,1,1,,
