Dataset,Record,Variable,Value
CE,8,CEDTC,2013-04-12
CE,8,CEDY,
CE,8,RFSTDTC,2012-11-30
CE,9,CEDTC,2013-01-19
CE,9,CEDY,
CE,9,RFSTDTC,2012-11-30
CM,3,CMDTC,2013-01-11
CM,3,CMDY,
CM,3,RFSTDTC,2012-11-30
CM,4,CMDTC,2013-04-19
CM,4,CMDY,
CM,4,RFSTDTC,2012-10-31T13:00
DM,1,DMDTC,2011-11-23
DM,1,DMDY,
DM,1,RFSTDTC,2012-11-30
DM,2,DMDTC,2011-11-24
DM,2,DMDY,
DM,2,RFSTDTC,2012-10-31T13:00
FA,1,FADTC,2012-12-02
FA,1,FADY,
FA,1,RFSTDTC,2012-11-30
FA,2,FADTC,2012-12-02
FA,2,FADY,
FA,2,RFSTDTC,2012-11-30
FA,3,FADTC,2012-12-02
FA,3,FADY,
FA,3,RFSTDTC,2012-11-30
FA,4,FADTC,2012-12-02
FA,4,FADY,
FA,4,RFSTDTC,2012-11-30
FA,5,FADTC,2012-12-02
FA,5,FADY,
FA,5,RFSTDTC,2012-11-30
LB,1,LBDTC,2012-11-23T11:19
LB,1,LBDY,
LB,1,RFSTDTC,2012-11-30
LB,2,LBDTC,2012-11-23T10:20
LB,2,LBDY,
LB,2,RFSTDTC,2012-11-30
LB,3,LBDTC,2012-11-22T11:20
LB,3,LBDY,
LB,3,RFSTDTC,2012-11-30
LB,4,LBDTC,2012-10-23T11:20
LB,4,LBDY,
LB,4,RFSTDTC,2012-11-30
LB,5,LBDTC,2011-11-23T11:20
LB,5,LBDY,
LB,5,RFSTDTC,2012-11-30
SE,1,RFSTDTC,2012-11-30
SE,1,SEDTC,2012-11-23
SE,1,SEDY,
SM,2,RFSTDTC,2012-11-30
SM,2,SMDTC,2012-11-28
SM,2,SMDY,
SV,1,RFSTDTC,2012-11-30
SV,1,SVDTC,2012-11-23
SV,1,SVDY,
SV,2,RFSTDTC,2012-11-30
SV,2,SVDTC,2012-11-28
SV,2,SVDY,
SV,3,RFSTDTC,2012-11-30
SV,3,SVDTC,2012-11-30
SV,3,SVDY,
SV,4,RFSTDTC,2012-11-30
SV,4,SVDTC,2012-12-13
SV,4,SVDY,
SV,5,RFSTDTC,2012-11-30
SV,5,SVDTC,2012-12-26
SV,5,SVDY,
SV,6,RFSTDTC,2012-11-30
SV,6,SVDTC,2012-12-28
SV,6,SVDY,
SV,7,RFSTDTC,2012-11-30
SV,7,SVDTC,2013-01-10
SV,7,SVDY,
SV,8,RFSTDTC,2012-11-30
SV,8,SVDTC,2013-01-23
SV,8,SVDY,
SV,9,RFSTDTC,2012-11-30
SV,9,SVDTC,2013-02-14
SV,9,SVDY,
SV,10,RFSTDTC,2012-11-30
SV,10,SVDTC,2013-05-20
SV,10,SVDY,
