parent_entity,parent_id,parent_rel,rel_type,id,name,description,label,instanceType,definedProcedures,biomedicalConceptIds,bcSurrogateIds,previousId,nextId,timelineId
StudyDesign,StudyDesign_1,activities,definition,Activity_1,Activity 1,,,Activity,True,True,True,,Activity_2,
StudyDesign,StudyDesign_1,activities,definition,Activity_2,Activity 2,,,Activity,True,True,False,Activity_1,Activity_3,
StudyDesign,StudyDesign_1,activities,definition,Activity_3,Activity 3,,,Activity,True,True,,Activity_2,Activity_4,
StudyDesign,StudyDesign_1,activities,definition,Activity_4,Activity 4,,,Activity,True,False,True,Activity_3,Activity_5,
StudyDesign,StudyDesign_1,activities,definition,Activity_5,Activity 5,,,Activity,True,False,False,Activity_4,Activity_6,
StudyDesign,StudyDesign_1,activities,definition,Activity_6,Activity 6,,,Activity,True,False,,Activity_5,Activity_7,
StudyDesign,StudyDesign_1,activities,definition,Activity_7,Activity 7,,,Activity,True,,True,Activity_6,Activity_8,
StudyDesign,StudyDesign_1,activities,definition,Activity_8,Activity 8,,,Activity,True,,False,Activity_7,Activity_9,
StudyDesign,StudyDesign_1,activities,definition,Activity_9,Activity 9,,,Activity,True,,,Activity_8,Activity_10,
StudyDesign,StudyDesign_1,activities,definition,Activity_10,Activity 10,,,Activity,False,True,True,Activity_9,Activity_11,
StudyDesign,StudyDesign_1,activities,definition,Activity_11,Activity 11,,,Activity,False,True,,Activity_10,Activity_12,
StudyDesign,StudyDesign_1,activities,definition,Activity_12,Activity 12,,,Activity,False,False,True,Activity_11,Activity_13,
StudyDesign,StudyDesign_1,activities,definition,Activity_13,Activity 13,,,Activity,False,,True,Activity_12,Activity_14,
StudyDesign,StudyDesign_1,activities,definition,Activity_14,Activity 14,,,Activity,,True,True,Activity_13,Activity_15,
StudyDesign,StudyDesign_1,activities,definition,Activity_15,Activity 15,,,Activity,,True,False,Activity_14,Activity_16,
StudyDesign,StudyDesign_1,activities,definition,Activity_16,Activity 16,,,Activity,,True,,Activity_15,Activity_17,
StudyDesign,StudyDesign_1,activities,definition,Activity_17,Activity 17,,,Activity,,False,True,Activity_16,Activity_18,
StudyDesign,StudyDesign_1,activities,definition,Activity_18,Activity 18,,,Activity,,,True,Activity_17,,
