parent_entity,parent_id,parent_rel,rel_type,id,name,description,label,instanceType,environmentalSetting,contactModes,type,type.id,type.code,type.codeSystem,type.codeSystemVersion,type.decode,scheduledAtId,previousId,nextId,transitionStartRule,transitionStartRule.id,transitionStartRule.name,transitionStartRule.description,transitionStartRule.label,transitionStartRule.text,transitionEndRule,transitionEndRule.id,transitionEndRule.name,transitionEndRule.description,transitionEndRule.label,transitionEndRule.text
StudyDesign,StudyDesign_1,encounters,definition,Encounter_1,E1,Screening encounter,Screening 1,Encounter,True,True,True,Code_83,C25716,http://www.cdisc.org,2023-12-15,Visit,,,Encounter_2,True,TransitionRule_1,ENCOUNTER_START_RULE_1,,,Subject identifier,FALSE,,,,,
StudyDesign,StudyDesign_1,encounters,definition,Encounter_2,E2,Screening encounter - Ambulatory ECG Placement,Screening 2,Encounter,True,True,True,Code_86,C25716,http://www.cdisc.org,2023-12-15,Visit,Timing_2,Encounter_1,Encounter_3,True,TransitionRule_2,ENCOUNTER_START_RULE_2,,,Second start rule,,,,,,
StudyDesign,StudyDesign_1,encounters,definition,Encounter_3,E3,Baseline encounter - Ambulatory ECG Removal,Baseline,Encounter,True,True,True,Code_89,C25716,http://www.cdisc.org,2023-12-15,Visit,,Encounter_2,Encounter_4,FALSE,,,,,,True,TransitionRule_3,ENCOUNTER_END_RULE_1,,,completion of screening activities
StudyDesign,StudyDesign_1,encounters,definition,Encounter_4,E4,Day 14,Week 2,Encounter,True,True,True,Code_92,C25716,http://www.cdisc.org,2023-12-15,Visit,Timing_4,Encounter_3,,,,,,,,True,TransitionRule_4,ENCOUNTER_END_RULE_2,,,Second end rule
Encounter,Encounter_1,nextId,reference,Encounter_2,E2,Screening encounter - Ambulatory ECG Placement,Screening 2,Encounter,True,True,True,Code_86,C25716,http://www.cdisc.org,2023-12-15,Visit,Timing_2,Encounter_1,Encounter_3,True,TransitionRule_2,ENCOUNTER_START_RULE_2,,,Second start rule,,,,,,
Encounter,Encounter_2,previousId,reference,Encounter_1,E1,Screening encounter,Screening 1,Encounter,True,True,True,Code_83,C25716,http://www.cdisc.org,2023-12-15,Visit,,,Encounter_2,True,TransitionRule_1,ENCOUNTER_START_RULE_1,,,Subject identifier,FALSE,,,,,
Encounter,Encounter_2,nextId,reference,Encounter_3,E3,Baseline encounter - Ambulatory ECG Removal,Baseline,Encounter,True,True,True,Code_89,C25716,http://www.cdisc.org,2023-12-15,Visit,,Encounter_2,Encounter_4,FALSE,,,,,,True,TransitionRule_3,ENCOUNTER_END_RULE_1,,,completion of screening activities
Encounter,Encounter_3,previousId,reference,Encounter_2,E2,Screening encounter - Ambulatory ECG Placement,Screening 2,Encounter,True,True,True,Code_86,C25716,http://www.cdisc.org,2023-12-15,Visit,Timing_2,Encounter_1,Encounter_3,True,TransitionRule_2,ENCOUNTER_START_RULE_2,,,Second start rule,,,,,,
Encounter,Encounter_3,nextId,reference,Encounter_4,E4,Day 14,Week 2,Encounter,True,True,True,Code_92,C25716,http://www.cdisc.org,2023-12-15,Visit,Timing_4,Encounter_3,,,,,,,,True,TransitionRule_4,ENCOUNTER_END_RULE_2,,,Second end rule
Encounter,Encounter_4,previousId,reference,Encounter_3,E3,Baseline encounter - Ambulatory ECG Removal,Baseline,Encounter,True,True,True,Code_89,C25716,http://www.cdisc.org,2023-12-15,Visit,,Encounter_2,Encounter_4,FALSE,,,,,,True,TransitionRule_3,ENCOUNTER_END_RULE_1,,,completion of screening activities
ScheduledActivityInstance,ScheduledActivityInstance_9,encounterId,reference,Encounter_1,E1,Screening encounter,Screening 1,Encounter,True,True,True,Code_83,C25716,http://www.cdisc.org,2023-12-15,Visit,,,Encounter_2,True,TransitionRule_1,ENCOUNTER_START_RULE_1,,,Subject identifier,FALSE,,,,,
ScheduledActivityInstance,ScheduledActivityInstance_10,encounterId,reference,Encounter_2,E2,Screening encounter - Ambulatory ECG Placement,Screening 2,Encounter,True,True,True,Code_86,C25716,http://www.cdisc.org,2023-12-15,Visit,Timing_2,Encounter_1,Encounter_3,True,TransitionRule_2,ENCOUNTER_START_RULE_2,,,Second start rule,,,,,,
ScheduledActivityInstance,ScheduledActivityInstance_11,encounterId,reference,Encounter_3,E3,Baseline encounter - Ambulatory ECG Removal,Baseline,Encounter,True,True,True,Code_89,C25716,http://www.cdisc.org,2023-12-15,Visit,,Encounter_2,Encounter_4,FALSE,,,,,,True,TransitionRule_3,ENCOUNTER_END_RULE_1,,,completion of screening activities
ScheduledActivityInstance,ScheduledActivityInstance_12,encounterId,reference,Encounter_4,E4,Day 14,Week 2,Encounter,True,True,True,Code_92,C25716,http://www.cdisc.org,2023-12-15,Visit,Timing_4,Encounter_3,,,,,,,,True,TransitionRule_4,ENCOUNTER_END_RULE_2,,,Second end rule
