Dataset,Record,Variable,Value
TR.xpt,0,TRLAT,
TR.xpt,1,TRLAT,
TR.xpt,2,TRLAT,RIGHT
TR.xpt,3,TRLAT,LEFT
TR.xpt,4,TRLAT,
TR.xpt,5,TRLAT,
TR.xpt,6,TRLAT,RIGHT
TR.xpt,7,TRLAT,LEFT
TR.xpt,8,TRLAT,
TR.xpt,9,TRLAT,
TR.xpt,10,TRLAT,
TR.xpt,11,TRLAT,RIGHT
TR.xpt,12,TRLAT,LEFT
TR.xpt,13,TRLAT,
TR.xpt,14,TRLAT,
TR.xpt,15,TRLAT,
TR.xpt,16,TRLAT,
TR.xpt,17,TRLAT,
TR.xpt,18,TRLAT,
TR.xpt,19,TRLAT,
TR.xpt,20,TRLAT,
TR.xpt,21,TRLAT,RIGHT
TR.xpt,22,TRLAT,RIGHT
TR.xpt,23,TRLAT,RIGHT
TR.xpt,24,TRLAT,RIGHT
TR.xpt,25,TRLAT,RIGHT
TR.xpt,26,TRLAT,RIGHT
