Dataset,Record,Variable,Value
CM,1,$domain_label,Concomitant/Prior Medications
CM,1,CMSCAT,Concomitant/Prior Medications
CM,2,$domain_label,Concomitant/Prior Medications
CM,2,CMSCAT,Concomitant/Prior Medications
CM,3,$domain_label,Concomitant/Prior Medications
CM,3,CMSCAT,Concomitant/Prior Medications
CM,4,$domain_label,Concomitant/Prior Medications
CM,4,CMSCAT,Concomitant/Prior Medications
CM,5,$domain_label,Concomitant/Prior Medications
CM,5,CMSCAT,Concomitant/Prior Medications
CM,6,$domain_label,Concomitant/Prior Medications
CM,6,CMSCAT,Concomitant/PRIOR MEDICATIONS
CM,7,$domain_label,Concomitant/Prior Medications
CM,7,CMSCAT,CONCOMITANT/PRIOR MEDICATIONS
CM,8,$domain_label,Concomitant/Prior Medications
CM,8,CMSCAT,CONCOMITANT/PRIOR MEDICATIONS
CM,9,$domain_label,Concomitant/Prior Medications
CM,9,CMSCAT,CONCOMITANT/PRIOR MEDICATIONS
CM,10,$domain_label,Concomitant/Prior Medications
CM,10,CMSCAT,CONCOMITANT/PRIOR MEDICATIONS
