Dataset,Record,Variable,Value
DM,1,$value_dy_algorithm,-59
DM,1,DMDTC,2022-01-20
DM,1,DMDY,-59.0
DM,1,RFSTDTC,2022-03-20
FA,1,$value_dy_algorithm,18
FA,1,FADTC,2012-12-02
FA,1,FADY,18.0
FA,1,RFSTDTC,2012-11-15
FA,2,$value_dy_algorithm,5
FA,2,FADTC,2013-10-12
FA,2,FADY,5.0
FA,2,RFSTDTC,2013-10-08
FA,4,$value_dy_algorithm,-34
FA,4,FADTC,2012-12-02
FA,4,FADY,-34.0
FA,4,RFSTDTC,2013-01-05
FA,5,$value_dy_algorithm,206
FA,5,FADTC,2014-12-02
FA,5,FADY,206.0
FA,5,RFSTDTC,2014-05-11
IE,1,$value_dy_algorithm,-3
IE,1,IEDTC,2022-03-17
IE,1,IEDY,-3.0
IE,1,RFSTDTC,2022-03-20
LB,1,$value_dy_algorithm,11
LB,1,LBDTC,2022-03-30
LB,1,LBDY,11.0
LB,1,RFSTDTC,2022-03-20
