Dataset,Record,Variable,Value
cm.xpt,3,CMDTC,2013-01-11
cm.xpt,3,CMDY,null
cm.xpt,4,CMDTC,2013-04-19
cm.xpt,4,CMDY,null
ce.xpt,8,CEDY,null
ce.xpt,8,CEDTC,2013-04-12
ce.xpt,9,CEDY,null
ce.xpt,9,CEDTC,2013-01-19
lb.xpt,1,LBDTC,2012-11-23T11:19
lb.xpt,1,LBDY,null
lb.xpt,2,LBDTC,2012-11-23T10:20
lb.xpt,2,LBDY,null
lb.xpt,3,LBDTC,2012-11-22T11:20
lb.xpt,3,LBDY,null
lb.xpt,4,LBDTC,2012-10-23T11:20
lb.xpt,4,LBDY,null
lb.xpt,5,LBDTC,2011-11-23T11:20
lb.xpt,5,LBDY,null
fa.xpt,1,FADTC,2012-12-02
fa.xpt,1,FADY,null
fa.xpt,2,FADTC,2012-12-02
fa.xpt,2,FADY,null
fa.xpt,3,FADTC,2012-12-02
fa.xpt,3,FADY,null
fa.xpt,4,FADTC,2012-12-02
fa.xpt,4,FADY,null
fa.xpt,5,FADTC,2012-12-02
fa.xpt,5,FADY,null
se.xpt,1,SEDY,null
se.xpt,1,SEDTC,2012-11-23
sv.xpt,1,SVDY,null
sv.xpt,1,SVDTC,2012-11-23
sv.xpt,2,SVDY,null
sv.xpt,2,SVDTC,2012-11-28
sv.xpt,3,SVDY,null
sv.xpt,3,SVDTC,2012-11-30
sv.xpt,4,SVDY,null
sv.xpt,4,SVDTC,2012-12-13
sv.xpt,5,SVDY,null
sv.xpt,5,SVDTC,2012-12-26
sv.xpt,6,SVDY,null
sv.xpt,6,SVDTC,2012-12-28
sv.xpt,7,SVDY,null
sv.xpt,7,SVDTC,2013-01-10
sv.xpt,8,SVDY,null
sv.xpt,8,SVDTC,2013-01-23
sv.xpt,9,SVDY,null
sv.xpt,9,SVDTC,2013-02-14
sv.xpt,10,SVDY,null
sv.xpt,10,SVDTC,2013-05-20
sm.xpt,2,SMDTC,2012-11-28
sm.xpt,2,SMDY,null
dm.xpt,1,DMDTC,2011-11-23
dm.xpt,1,DMDY,null
