Dataset,Record,Variable,Value
om.csv,3,OMSTRESC,20
om.csv,3,OMSTRESU,%
om.csv,3,$owbw_ratio_null_unit,0
om.csv,3,$owbr_ratio_null_unit,0
om.csv,3,$owbw_percent,0
om.csv,3,$owht_ratio_null_unit,2
om.csv,3,$owbr_percent,0
om.csv,3,OMSTRESN,20
om.csv,3,OMTESTCD,OWHT
om.csv,3,$owht_percent,1
om.csv,4,OMSTRESC,0.2
om.csv,4,OMSTRESU,
om.csv,4,$owbw_ratio_null_unit,0
om.csv,4,$owbr_ratio_null_unit,0
om.csv,4,$owbw_percent,0
om.csv,4,$owht_ratio_null_unit,2
om.csv,4,$owbr_percent,0
om.csv,4,OMSTRESN,0.2
om.csv,4,OMTESTCD,OWHT
om.csv,4,$owht_percent,1
om.csv,5,OMSTRESC,0.2
om.csv,5,OMSTRESU,
om.csv,5,$owbw_ratio_null_unit,0
om.csv,5,$owbr_ratio_null_unit,0
om.csv,5,$owbw_percent,0
om.csv,5,$owht_ratio_null_unit,2
om.csv,5,$owbr_percent,0
om.csv,5,OMSTRESN,0.2
om.csv,5,OMTESTCD,OWHT
om.csv,5,$owht_percent,1
